link_id,link_idx,fair,ref_W1,ref_W3,ref_W4,ref_median,ref_mean,ref_min,ref_max,lift,fold,speed,lanes,length
1,0,1351,1292,1176,1212,1212.0,1226.6666666666667,1176,1292,139.0,1.1146864686468647,31.29,4.0,1467.176330744978
10,1,1,0,0,0,0.0,0.0,0,0,1.0,1.0,11.18,2.0,233.28923264950845
100,2,0,0,0,0,0.0,0.0,0,0,0.0,0.0,8.94,2.0,86.72974743100295
1000,3,0,0,0,0,0.0,0.0,0,0,0.0,0.0,13.89,1.0,78.32612447748178
10005,4,33,39,34,43,39.0,38.666666666666664,34,43,-6.0,0.8461538461538461,13.41,1.0,59.22989941206077
10006,5,4,6,8,9,8.0,7.666666666666667,6,9,-4.0,0.5,13.41,1.0,16.739618500486692
10008,6,1,3,4,3,3.0,3.3333333333333335,3,4,-2.0,0.3333333333333333,11.18,1.0,68.65186335879827
10009,7,1,0,1,0,0.0,0.3333333333333333,0,1,1.0,1.0,11.18,1.0,84.61948563602022
1001,8,0,1,3,1,1.0,1.6666666666666667,1,3,-1.0,0.0,11.18,2.0,111.65555390012139
10011,9,1,0,2,0,0.0,0.6666666666666666,0,2,1.0,1.0,11.18,1.0,68.65186335879827
10012,10,1,1,2,3,2.0,2.0,1,3,-1.0,0.5,11.18,1.0,122.4925451824712
10013,11,0,2,1,0,1.0,1.0,0,2,-1.0,0.0,11.18,1.0,137.12010642289366
10014,12,1,0,1,0,0.0,0.3333333333333333,0,1,1.0,1.0,11.18,1.0,122.4925451824712
10017,13,3,2,1,3,2.0,2.0,1,3,1.0,1.5,13.89,1.0,46.111423935923675
10018,14,1,1,0,1,1.0,0.6666666666666666,0,1,0.0,1.0,13.89,1.0,46.111423935923675
10019,15,1,1,0,1,1.0,0.6666666666666666,0,1,0.0,1.0,13.89,1.0,142.9327369212864
10020,16,3,3,2,1,2.0,2.0,1,3,1.0,1.5,13.89,1.0,121.15235416043608
10021,17,1,0,0,0,0.0,0.0,0,0,1.0,1.0,11.18,1.0,70.51995514520296
10023,18,5,0,3,0,0.0,1.0,0,3,5.0,5.0,11.18,1.0,81.9739624035343
10024,19,1,0,0,0,0.0,0.0,0,0,1.0,1.0,11.18,1.0,70.51995514520296
10025,20,0,0,0,0,0.0,0.0,0,0,0.0,0.0,13.89,1.0,265.3487102460428
10026,21,0,0,1,0,0.0,0.3333333333333333,0,1,0.0,0.0,13.89,1.0,92.8492311241754
10027,22,0,0,0,1,0.0,0.3333333333333333,0,1,0.0,0.0,13.89,1.0,342.5784387174217
10028,23,0,1,1,6,1.0,2.6666666666666665,1,6,-1.0,0.0,13.89,1.0,525.5757430783301
10029,24,0,0,0,0,0.0,0.0,0,0,0.0,0.0,13.89,1.0,342.57843871742176
1003,25,1,0,0,0,0.0,0.0,0,0,1.0,1.0,13.89,2.0,71.74718101906227
10030,26,2,3,2,2,2.0,2.3333333333333335,2,3,0.0,1.0,13.89,1.0,92.77618732276164
10031,27,4,3,3,6,3.0,4.0,3,6,1.0,1.3333333333333333,13.89,1.0,60.420150877326016
10032,28,49,66,126,88,88.0,93.33333333333333,66,126,-39.0,0.5568181818181818,15.65,2.0,72.45926185305498
10034,29,1,1,2,2,2.0,1.6666666666666667,1,2,-1.0,0.5,11.18,2.0,170.4751552098108
10037,30,0,2,0,3,2.0,1.6666666666666667,0,3,-2.0,0.0,11.18,2.0,170.4751552098108
10038,31,2,0,1,0,0.0,0.3333333333333333,0,1,2.0,2.0,11.18,2.0,98.58102218909876
10039,32,0,0,1,0,0.0,0.3333333333333333,0,1,0.0,0.0,11.18,2.0,75.69017312659653
1004,33,1,0,0,0,0.0,0.0,0,0,1.0,1.0,13.89,2.0,234.49788123857405
10040,34,3,1,1,2,1.0,1.3333333333333333,1,2,2.0,3.0,11.18,2.0,72.17602594720886
10041,35,2,0,0,0,0.0,0.0,0,0,2.0,2.0,11.18,2.0,98.58102218909876
10042,36,5,2,3,5,3.0,3.3333333333333335,2,5,2.0,1.6666666666666667,11.18,2.0,83.06480695186363
10043,37,7,2,1,3,2.0,2.0,1,3,5.0,3.5,11.18,2.0,82.66854201730774
10044,38,0,0,2,1,1.0,1.0,0,2,-1.0,0.0,13.89,1.0,253.99217431990996
10045,39,0,0,0,1,0.0,0.3333333333333333,0,1,0.0,0.0,11.18,1.0,105.76407249771785
10047,40,17,20,13,8,13.0,13.666666666666666,8,20,4.0,1.3076923076923077,13.89,3.0,113.95652299546092
10048,41,0,0,0,1,0.0,0.3333333333333333,0,1,0.0,0.0,11.18,1.0,105.76407249771785
10049,42,2,0,0,0,0.0,0.0,0,0,2.0,2.0,11.18,2.0,432.9792894354386
1005,43,0,0,0,0,0.0,0.0,0,0,0.0,0.0,13.89,2.0,80.30898415642118
10052,44,0,0,0,0,0.0,0.0,0,0,0.0,0.0,13.89,2.0,99.42065265277358
10054,45,1,1,0,0,0.0,0.3333333333333333,0,1,1.0,1.0,13.89,2.0,82.21825506590885
10055,46,1,2,0,0,0.0,0.6666666666666666,0,2,1.0,1.0,13.89,2.0,84.56551000900448
10056,47,0,0,0,0,0.0,0.0,0,0,0.0,0.0,13.89,2.0,99.42065265277358
10057,48,1,1,0,0,0.0,0.3333333333333333,0,1,1.0,1.0,13.89,2.0,83.31861486717064
10058,49,1,4,2,0,2.0,2.0,0,4,-1.0,0.5,13.89,2.0,83.22964395368106
1006,50,1,0,0,0,0.0,0.0,0,0,1.0,1.0,13.89,2.0,283.67962175406353
10060,51,0,4,1,0,1.0,1.6666666666666667,0,4,-1.0,0.0,13.89,2.0,83.31861486717064
10061,52,0,1,0,0,0.0,0.3333333333333333,0,1,0.0,0.0,13.89,2.0,258.4469425729234
10063,53,0,0,3,1,1.0,1.3333333333333333,0,3,-1.0,0.0,11.18,1.0,15.458998660000626
10064,54,0,0,1,1,1.0,0.6666666666666666,0,1,-1.0,0.0,11.18,1.0,87.21870889727964
10065,55,1,0,0,1,0.0,0.3333333333333333,0,1,1.0,1.0,11.18,1.0,86.75798470853825
10066,56,1,0,1,1,1.0,0.6666666666666666,0,1,0.0,1.0,11.18,1.0,117.80057696553509
10067,57,1,0,2,1,1.0,1.0,0,2,0.0,1.0,11.18,1.0,87.21870889727964
10068,58,0,0,1,0,0.0,0.3333333333333333,0,1,0.0,0.0,11.18,1.0,263.5456025788306
10069,59,0,0,0,4,0.0,1.3333333333333333,0,4,0.0,0.0,11.18,1.0,366.39609342253254
10070,60,0,0,0,0,0.0,0.0,0,0,0.0,0.0,11.18,1.0,86.77953280280242
10071,61,0,0,0,0,0.0,0.0,0,0,0.0,0.0,11.18,1.0,41.46724854038881
10072,62,1,0,1,3,1.0,1.3333333333333333,0,3,0.0,1.0,11.18,1.0,117.80057696553509
10073,63,0,0,0,0,0.0,0.0,0,0,0.0,0.0,11.18,1.0,86.77953280280242
10074,64,1,0,1,1,1.0,0.6666666666666666,0,1,0.0,1.0,11.18,1.0,81.9485952734346
10076,65,1,0,1,1,1.0,0.6666666666666666,0,1,0.0,1.0,11.18,1.0,81.9485952734346
10078,66,30,37,28,41,37.0,35.333333333333336,28,41,-7.0,0.8108108108108109,13.89,1.0,78.77077855295728
10079,67,25,27,32,27,27.0,28.666666666666668,27,32,-2.0,0.9259259259259259,13.89,1.0,131.60927068287478
1008,68,0,0,2,0,0.0,0.6666666666666666,0,2,0.0,0.0,13.89,2.0,210.84822064527475
