link_id,link_idx,fair,ref_W1,ref_W3,ref_W4,ref_median,ref_mean,ref_min,ref_max,lift,fold,speed,lanes,length
59022,36862,1892,1625,1542,1729,1625.0,1632.0,1542,1729,267.0,1.1643076923076923,31.29,3.0,1428.6321733956959
58824,36657,3509,3289,3278,3285,3285.0,3284.0,3278,3289,224.0,1.0681887366818874,31.29,4.0,801.028549172449
59147,36985,1431,1219,1176,1322,1219.0,1239.0,1176,1322,212.0,1.173913043478261,31.29,5.0,2101.0922792025017
59309,37133,3294,3085,3111,3083,3085.0,3093.0,3083,3111,209.0,1.0677471636952998,31.29,3.0,1642.029216147989
59310,37134,3583,3340,3381,3400,3381.0,3373.6666666666665,3340,3400,202.0,1.0597456373853889,31.29,3.0,1582.1027882403316
58979,36817,1551,1296,1350,1386,1350.0,1344.0,1296,1386,201.0,1.1488888888888888,31.29,5.0,1869.9449816604333
56863,35267,2454,2256,2267,2324,2267.0,2282.3333333333335,2256,2324,187.0,1.082487869430966,31.29,2.0,1630.9091686097952
77709,50499,1504,1319,1299,1411,1319.0,1343.0,1299,1411,185.0,1.1402577710386657,31.29,5.0,1991.1020585838933
77714,50504,1873,1689,1659,1753,1689.0,1700.3333333333333,1659,1753,184.0,1.1089402013025458,31.29,4.0,562.818462895446
77717,50507,2204,2013,2023,2134,2023.0,2056.6666666666665,2013,2134,181.0,1.0894710825506673,31.29,4.0,186.52959092972335
59042,36883,1435,1255,1179,1356,1255.0,1263.3333333333333,1179,1356,180.0,1.1434262948207172,31.29,3.0,1071.4193567951702
59054,36896,1266,1095,1068,1225,1095.0,1129.3333333333333,1068,1225,171.0,1.1561643835616437,31.29,3.0,1044.6166777538901
59038,36878,1952,1782,1625,1817,1782.0,1741.3333333333333,1625,1817,170.0,1.095398428731762,31.29,4.0,691.7208913788481
58969,36806,1213,1044,1025,1084,1044.0,1051.0,1025,1084,169.0,1.1618773946360152,31.29,4.0,630.5268968049337
58911,36743,2454,2286,2263,2373,2286.0,2307.3333333333335,2263,2373,168.0,1.073490813648294,31.29,3.0,618.9212606806424
58975,36813,1191,1030,1011,1084,1030.0,1041.6666666666667,1011,1084,161.0,1.1563106796116505,31.29,4.0,729.303923945339
59149,36987,1100,939,922,987,939.0,949.3333333333334,922,987,161.0,1.1714589989350372,31.29,4.0,864.0009498936533
63362,40094,2020,1861,1855,1937,1861.0,1884.3333333333333,1855,1937,159.0,1.0854379365932294,31.29,3.0,870.0581346466192
59053,36895,1079,909,921,1049,921.0,959.6666666666666,909,1049,158.0,1.1715526601520088,31.29,3.0,1123.3446183310273
59312,37136,3142,3039,2986,2986,2986.0,3003.6666666666665,2986,3039,156.0,1.0522438044206297,31.29,4.0,1141.646467818215
58931,36765,1375,1219,1222,1323,1222.0,1254.6666666666667,1219,1323,153.0,1.1252045826513912,31.29,5.0,2103.6061494134256
78455,50998,1169,1016,988,1042,1016.0,1015.3333333333334,988,1042,153.0,1.1505905511811023,31.29,4.0,473.1466993192286
59055,36897,616,468,458,557,468.0,494.3333333333333,458,557,148.0,1.3162393162393162,13.89,2.0,534.9525443914971
92097,57313,1195,1047,1008,1064,1047.0,1039.6666666666667,1008,1064,148.0,1.1413562559694366,31.29,4.0,508.7325786710906
77400,50275,969,827,773,902,827.0,834.0,773,902,142.0,1.1717049576783556,13.89,4.0,144.31092696854935
65472,41634,3274,3059,3133,3163,3133.0,3118.3333333333335,3059,3163,141.0,1.045004787743377,31.29,3.0,1223.2459673329365
85822,54957,735,594,554,675,594.0,607.6666666666666,554,675,141.0,1.2373737373737375,22.35,6.0,175.22572159654348
59016,36855,1763,1627,1491,1645,1627.0,1587.6666666666667,1491,1645,136.0,1.0835894283958205,31.29,3.0,1200.6289295913446
64541,40872,3330,3196,3196,3166,3196.0,3186.0,3166,3196,134.0,1.041927409261577,31.29,4.0,1028.4021938938017
77395,50270,530,398,392,465,398.0,418.3333333333333,392,465,132.0,1.3316582914572865,13.89,2.0,201.96269424242638
99566,60028,2838,2686,2708,2763,2708.0,2719.0,2686,2763,130.0,1.0480059084194977,31.29,3.0,149.77565840415798
58934,36768,1058,929,913,992,929.0,944.6666666666666,913,992,129.0,1.1388589881593112,31.29,4.0,337.34815606636994
59146,36984,853,739,729,752,739.0,740.0,729,752,114.0,1.1542625169147496,31.29,4.0,598.3262571054665
59236,37077,1946,1833,1670,1876,1833.0,1793.0,1670,1876,113.0,1.0616475722858703,31.29,5.0,445.45249343128575
77405,50279,676,565,521,635,565.0,573.6666666666666,521,635,111.0,1.1964601769911505,22.35,5.0,114.80698947687401
58976,36814,898,737,791,802,791.0,776.6666666666666,737,802,107.0,1.1352718078381796,31.29,5.0,377.95635358889405
59063,36905,564,459,453,521,459.0,477.6666666666667,453,521,105.0,1.2287581699346406,13.89,4.0,177.75743124186639
3614,19662,723,619,556,677,619.0,617.3333333333334,556,677,104.0,1.1680129240710824,22.35,6.0,578.2287980425901
58932,36766,722,603,625,685,625.0,637.6666666666666,603,685,97.0,1.1552,31.29,3.0,931.7411097060749
