link_id,link_idx,fair,ref_W1,ref_W3,ref_W4,ref_median,ref_mean,ref_min,ref_max,lift,fold,speed,lanes,length
47879,28648,53,20,28,18,20.0,22.0,18,28,33.0,2.65,15.65,1.0,354.8314720004773
81261,52820,52,16,32,20,20.0,22.666666666666668,16,32,32.0,2.6,15.65,3.0,9.250782450873261
73962,47987,53,21,20,31,21.0,24.0,20,31,32.0,2.5238095238095237,13.89,4.0,287.33909811396177
21068,8337,53,21,35,22,22.0,26.0,21,35,31.0,2.409090909090909,15.65,1.0,354.8314720004773
98008,59490,55,65,18,23,23.0,35.333333333333336,18,65,32.0,2.391304347826087,8.94,1.0,8.549324489779437
81854,53224,59,21,25,27,25.0,24.333333333333332,21,27,34.0,2.36,15.65,1.0,231.8919369308241
81076,52718,58,20,25,29,25.0,24.666666666666668,20,29,33.0,2.32,15.65,2.0,250.90218491609465
80347,52233,50,20,25,22,22.0,22.333333333333332,20,25,28.0,2.272727272727273,20.12,2.0,313.7037723417351
68968,44376,58,26,19,52,26.0,32.333333333333336,19,52,32.0,2.230769230769231,13.89,1.0,21.374596892591995
47877,28646,48,22,31,20,22.0,24.333333333333332,20,31,26.0,2.1818181818181817,15.65,1.0,79.11695272839383
81258,52816,50,16,32,23,23.0,23.666666666666668,16,32,27.0,2.1739130434782608,15.65,1.0,40.60639613753546
69918,45037,143,108,55,66,66.0,76.33333333333333,55,108,77.0,2.1666666666666665,13.89,3.0,26.02489898734156
6527,41457,54,14,33,25,25.0,24.0,14,33,29.0,2.16,15.65,4.0,219.8532573052307
92037,57262,69,31,32,36,32.0,33.0,31,36,37.0,2.15625,8.94,2.0,27.78242803592986
89197,56174,42,15,22,20,20.0,19.0,15,22,22.0,2.1,17.88,1.0,210.86502790007395
79214,51533,75,34,37,36,36.0,35.666666666666664,34,37,39.0,2.0833333333333335,8.94,2.0,4.222021675407569
25038,11318,41,19,20,33,20.0,24.0,19,33,21.0,2.05,17.88,2.0,223.7381525042761
17503,5776,47,24,21,23,23.0,22.666666666666668,21,24,24.0,2.0434782608695654,20.12,2.0,313.7037723417351
14464,3416,49,24,28,22,24.0,24.666666666666668,22,28,25.0,2.0416666666666665,13.41,3.0,17.42257173086347
50204,30361,44,4,22,29,22.0,18.333333333333332,4,29,22.0,2.0,13.89,1.0,113.62520736478945
96913,59042,42,21,21,34,21.0,25.333333333333332,21,34,21.0,2.0,13.89,1.0,12.728898380999057
51143,31071,172,123,68,87,87.0,92.66666666666667,68,123,85.0,1.9770114942528736,13.89,3.0,113.35017323890544
67733,43475,55,34,25,28,28.0,29.0,25,34,27.0,1.9642857142857142,13.41,3.0,278.1389993571731
81785,53177,49,17,26,25,25.0,22.666666666666668,17,26,24.0,1.96,15.65,1.0,158.68198200730512
