link_id,link_idx,fair,ref_W1,ref_W3,ref_W4,ref_median,ref_mean,ref_min,ref_max,lift,fold,speed,lanes,length
94290,58137,6368,6038,5935,6302,6038.0,6091.666666666667,5935,6302,330.0,1.0546538588936734,31.29,7.0,1885.3477336350293
59022,36862,1892,1625,1542,1729,1625.0,1632.0,1542,1729,267.0,1.1643076923076923,31.29,3.0,1428.6321733956959
58940,36775,4272,4010,4002,4218,4010.0,4076.6666666666665,4002,4218,262.0,1.0653366583541146,31.29,5.0,1780.8997315378576
59088,36930,6090,5849,5624,6098,5849.0,5857.0,5624,6098,241.0,1.0412036245512053,31.29,7.0,2103.310776351943
58824,36657,3509,3289,3278,3285,3285.0,3284.0,3278,3289,224.0,1.0681887366818874,31.29,4.0,801.028549172449
58848,36682,3956,3929,3576,3738,3738.0,3747.6666666666665,3576,3929,218.0,1.0583199571963617,31.29,6.0,913.0063908298789
59871,37525,3432,3383,3171,3217,3217.0,3257.0,3171,3383,215.0,1.066832452595586,31.29,6.0,373.0978241679376
59147,36985,1431,1219,1176,1322,1219.0,1239.0,1176,1322,212.0,1.173913043478261,31.29,5.0,2101.0922792025017
59309,37133,3294,3085,3111,3083,3085.0,3093.0,3083,3111,209.0,1.0677471636952998,31.29,3.0,1642.029216147989
93637,57935,1303,1082,1147,1096,1096.0,1108.3333333333333,1082,1147,207.0,1.188868613138686,15.65,2.0,152.08701475691475
92093,57309,2863,2657,2593,2675,2657.0,2641.6666666666665,2593,2675,206.0,1.0775310500564546,31.29,5.0,1868.4959425613513
59241,37081,1488,1345,1259,1285,1285.0,1296.3333333333333,1259,1345,203.0,1.1579766536964982,31.29,4.0,1086.3449561981083
59310,37134,3583,3340,3381,3400,3381.0,3373.6666666666665,3340,3400,202.0,1.0597456373853889,31.29,3.0,1582.1027882403316
58979,36817,1551,1296,1350,1386,1350.0,1344.0,1296,1386,201.0,1.1488888888888888,31.29,5.0,1869.9449816604333
59234,37075,1308,1198,1097,1110,1110.0,1135.0,1097,1198,198.0,1.1783783783783783,31.29,3.0,850.2728540119772
59051,36893,1622,1430,1344,1507,1430.0,1427.0,1344,1507,192.0,1.1342657342657343,31.29,3.0,4534.179949974798
59247,37083,3729,3625,3343,3538,3538.0,3502.0,3343,3625,191.0,1.053985302430752,31.29,4.0,1608.9433405730515
58888,36718,2974,2912,2785,2777,2785.0,2824.6666666666665,2777,2912,189.0,1.06786355475763,31.29,5.0,1048.816966590577
56863,35267,2454,2256,2267,2324,2267.0,2282.3333333333335,2256,2324,187.0,1.082487869430966,31.29,2.0,1630.9091686097952
89444,56256,3068,2948,2817,2881,2881.0,2882.0,2817,2948,187.0,1.0649080180492885,31.29,5.0,2343.9131758565736
77709,50499,1504,1319,1299,1411,1319.0,1343.0,1299,1411,185.0,1.1402577710386657,31.29,5.0,1991.1020585838933
77714,50504,1873,1689,1659,1753,1689.0,1700.3333333333333,1659,1753,184.0,1.1089402013025458,31.29,4.0,562.818462895446
77717,50507,2204,2013,2023,2134,2023.0,2056.6666666666665,2013,2134,181.0,1.0894710825506673,31.29,4.0,186.52959092972335
59042,36883,1435,1255,1179,1356,1255.0,1263.3333333333333,1179,1356,180.0,1.1434262948207172,31.29,3.0,1071.4193567951702
91332,56940,2719,2535,2543,2542,2542.0,2540.0,2535,2543,177.0,1.0696302124311565,29.06,4.0,64.37030420401562
59410,37206,3880,3704,3677,3788,3704.0,3723.0,3677,3788,176.0,1.0475161987041037,29.06,3.0,2703.1261301516474
97974,59466,4307,4131,4069,4184,4131.0,4128.0,4069,4184,176.0,1.0426046961994675,29.06,5.0,401.9398942617319
58914,36746,2688,2452,2513,2526,2513.0,2497.0,2452,2526,175.0,1.0696378830083566,29.06,3.0,1101.0126001513697
59080,36922,5836,5662,5427,5941,5662.0,5676.666666666667,5427,5941,174.0,1.0307311903920875,31.29,6.0,1340.8649135048336
59369,37176,3446,3378,3154,3273,3273.0,3268.3333333333335,3154,3378,173.0,1.052856706385579,31.29,5.0,1051.7731841776294
60978,38377,4113,4076,3837,3940,3940.0,3951.0,3837,4076,173.0,1.0439086294416244,31.29,5.0,744.7438676490365
68897,44340,1325,1152,1061,1231,1152.0,1148.0,1061,1231,173.0,1.1501736111111112,31.29,3.0,811.3767821285799
59054,36896,1266,1095,1068,1225,1095.0,1129.3333333333333,1068,1225,171.0,1.1561643835616437,31.29,3.0,1044.6166777538901
59038,36878,1952,1782,1625,1817,1782.0,1741.3333333333333,1625,1817,170.0,1.095398428731762,31.29,4.0,691.7208913788481
58969,36806,1213,1044,1025,1084,1044.0,1051.0,1025,1084,169.0,1.1618773946360152,31.29,4.0,630.5268968049337
58847,36681,1895,1648,1727,1796,1727.0,1723.6666666666667,1648,1796,168.0,1.0972785176606832,31.29,4.0,1364.6769398509907
58911,36743,2454,2286,2263,2373,2286.0,2307.3333333333335,2263,2373,168.0,1.073490813648294,31.29,3.0,618.9212606806424
59217,37057,1501,1334,1242,1402,1334.0,1326.0,1242,1402,167.0,1.1251874062968517,31.29,4.0,392.0211461329748
91326,56934,3589,3395,3424,3480,3424.0,3433.0,3395,3480,165.0,1.0481892523364487,29.06,4.0,210.85996746539735
59071,36913,3513,3488,3316,3349,3349.0,3384.3333333333335,3316,3488,164.0,1.048969841743804,31.29,5.0,931.4694400002886
65474,41636,2374,2271,2121,2210,2210.0,2200.6666666666665,2121,2271,164.0,1.07420814479638,31.29,4.0,1032.2239794408335
59144,36982,2204,2074,1989,2042,2042.0,2035.0,1989,2074,162.0,1.079333986287953,31.29,4.0,733.571158839359
60979,38378,4567,4501,4234,4405,4405.0,4380.0,4234,4501,162.0,1.0367763904653802,31.29,6.0,826.6524624244961
58854,36689,2792,2830,2567,2631,2631.0,2676.0,2567,2830,161.0,1.0611934625617636,31.29,4.0,982.2690555607055
58938,36772,1471,1362,1231,1310,1310.0,1301.0,1231,1362,161.0,1.1229007633587786,31.29,5.0,461.3518075435698
58975,36813,1191,1030,1011,1084,1030.0,1041.6666666666667,1011,1084,161.0,1.1563106796116505,31.29,4.0,729.303923945339
59149,36987,1100,939,922,987,939.0,949.3333333333334,922,987,161.0,1.1714589989350372,31.29,4.0,864.0009498936533
58836,36669,3264,3255,3053,3104,3104.0,3137.3333333333335,3053,3255,160.0,1.0515463917525774,31.29,5.0,80.4038077716318
63362,40094,2020,1861,1855,1937,1861.0,1884.3333333333333,1855,1937,159.0,1.0854379365932294,31.29,3.0,870.0581346466192
59053,36895,1079,909,921,1049,921.0,959.6666666666666,909,1049,158.0,1.1715526601520088,31.29,3.0,1123.3446183310273
59700,37416,3219,3061,3060,3130,3061.0,3083.6666666666665,3060,3130,158.0,1.0516171185886964,29.06,4.0,360.44433894959445
59312,37136,3142,3039,2986,2986,2986.0,3003.6666666666665,2986,3039,156.0,1.0522438044206297,31.29,4.0,1141.646467818215
68749,44235,3756,3591,3679,3601,3601.0,3623.6666666666665,3591,3679,155.0,1.0430435990002778,29.06,3.0,1872.9299746392367
58905,36737,932,846,751,778,778.0,791.6666666666666,751,846,154.0,1.1979434447300772,13.89,1.0,661.5543572888063
58923,36756,2331,2154,2177,2187,2177.0,2172.6666666666665,2154,2187,154.0,1.0707395498392283,29.06,3.0,508.03357120280674
58931,36765,1375,1219,1222,1323,1222.0,1254.6666666666667,1219,1323,153.0,1.1252045826513912,31.29,5.0,2103.6061494134256
59389,37185,3273,3120,3091,3158,3120.0,3123.0,3091,3158,153.0,1.0490384615384616,31.29,3.0,1546.5373464274267
78455,50998,1169,1016,988,1042,1016.0,1015.3333333333334,988,1042,153.0,1.1505905511811023,31.29,4.0,473.1466993192286
59043,36884,1409,1257,1116,1261,1257.0,1211.3333333333333,1116,1261,152.0,1.120922832140016,31.29,4.0,1141.6712141258347
58937,36771,1104,982,934,954,954.0,956.6666666666666,934,982,150.0,1.1572327044025157,31.29,4.0,584.479078835139
