idx,weekday,wd_name,hour,minute,week1,week2,week3,week4,top100_mre,overall_mre
0,0,Mon,9,45,2018-09-03 09:45:00,2018-09-10 09:45:00,2018-09-17 09:45:00,2018-09-24 09:45:00,0.392506,1.211713
1,0,Mon,14,35,2018-09-03 14:35:00,2018-09-10 14:35:00,2018-09-17 14:35:00,2018-09-24 14:35:00,0.351995,1.124579
2,0,Mon,11,25,2018-09-03 11:25:00,2018-09-10 11:25:00,2018-09-17 11:25:00,2018-09-24 11:25:00,0.349722,1.115850
3,0,Mon,4,45,2018-09-03 04:45:00,2018-09-10 04:45:00,2018-09-17 04:45:00,2018-09-24 04:45:00,0.704786,0.175422
4,0,Mon,11,30,2018-09-03 11:30:00,2018-09-10 11:30:00,2018-09-17 11:30:00,2018-09-24 11:30:00,0.351369,1.100097
5,0,Mon,7,45,2018-09-03 07:45:00,2018-09-10 07:45:00,2018-09-17 07:45:00,2018-09-24 07:45:00,0.366978,0.880867
6,0,Mon,0,10,2018-09-03 00:10:00,2018-09-10 00:10:00,2018-09-17 00:10:00,2018-09-24 00:10:00,0.560312,0.217427
7,0,Mon,10,40,2018-09-03 10:40:00,2018-09-10 10:40:00,2018-09-17 10:40:00,2018-09-24 10:40:00,0.312949,1.028973
8,0,Mon,22,05,2018-09-03 22:05:00,2018-09-10 22:05:00,2018-09-17 22:05:00,2018-09-24 22:05:00,0.540004,0.507161
9,0,Mon,12,45,2018-09-03 12:45:00,2018-09-10 12:45:00,2018-09-17 12:45:00,2018-09-24 12:45:00,0.389658,1.155530
10,0,Mon,23,50,2018-09-03 23:50:00,2018-09-10 23:50:00,2018-09-17 23:50:00,2018-09-24 23:50:00,0.647494,0.283175
11,0,Mon,19,50,2018-09-03 19:50:00,2018-09-10 19:50:00,2018-09-17 19:50:00,2018-09-24 19:50:00,0.466935,0.946046
12,0,Mon,17,00,2018-09-03 17:00:00,2018-09-10 17:00:00,2018-09-17 17:00:00,2018-09-24 17:00:00,0.435265,1.122110
13,0,Mon,0,20,2018-09-03 00:20:00,2018-09-10 00:20:00,2018-09-17 00:20:00,2018-09-24 00:20:00,0.728294,0.249598
14,0,Mon,3,00,2018-09-03 03:00:00,2018-09-10 03:00:00,2018-09-17 03:00:00,2018-09-24 03:00:00,0.845242,0.144372
15,0,Mon,8,00,2018-09-03 08:00:00,2018-09-10 08:00:00,2018-09-17 08:00:00,2018-09-24 08:00:00,0.367667,0.930000
16,0,Mon,15,25,2018-09-03 15:25:00,2018-09-10 15:25:00,2018-09-17 15:25:00,2018-09-24 15:25:00,0.365523,1.021768
17,0,Mon,14,00,2018-09-03 14:00:00,2018-09-10 14:00:00,2018-09-17 14:00:00,2018-09-24 14:00:00,0.450699,0.995344
18,0,Mon,0,55,2018-09-03 00:55:00,2018-09-10 00:55:00,2018-09-17 00:55:00,2018-09-24 00:55:00,0.664309,0.145379
19,0,Mon,17,30,2018-09-03 17:30:00,2018-09-10 17:30:00,2018-09-17 17:30:00,2018-09-24 17:30:00,0.385534,1.084060
20,0,Mon,10,10,2018-09-03 10:10:00,2018-09-10 10:10:00,2018-09-17 10:10:00,2018-09-24 10:10:00,0.298987,1.072170
21,0,Mon,14,40,2018-09-03 14:40:00,2018-09-10 14:40:00,2018-09-17 14:40:00,2018-09-24 14:40:00,0.367416,1.107754
22,0,Mon,2,15,2018-09-03 02:15:00,2018-09-10 02:15:00,2018-09-17 02:15:00,2018-09-24 02:15:00,0.695641,0.152160
23,0,Mon,9,35,2018-09-03 09:35:00,2018-09-10 09:35:00,2018-09-17 09:35:00,2018-09-24 09:35:00,0.369201,1.272953
24,0,Mon,19,20,2018-09-03 19:20:00,2018-09-10 19:20:00,2018-09-17 19:20:00,2018-09-24 19:20:00,0.453199,0.991639
25,0,Mon,2,20,2018-09-03 02:20:00,2018-09-10 02:20:00,2018-09-17 02:20:00,2018-09-24 02:20:00,0.782846,0.136042
26,0,Mon,15,15,2018-09-03 15:15:00,2018-09-10 15:15:00,2018-09-17 15:15:00,2018-09-24 15:15:00,0.432658,0.987951
27,0,Mon,16,20,2018-09-03 16:20:00,2018-09-10 16:20:00,2018-09-17 16:20:00,2018-09-24 16:20:00,0.321368,1.077430
28,0,Mon,13,40,2018-09-03 13:40:00,2018-09-10 13:40:00,2018-09-17 13:40:00,2018-09-24 13:40:00,0.365734,1.133557
29,0,Mon,21,55,2018-09-03 21:55:00,2018-09-10 21:55:00,2018-09-17 21:55:00,2018-09-24 21:55:00,0.563778,0.588556
30,0,Mon,21,10,2018-09-03 21:10:00,2018-09-10 21:10:00,2018-09-17 21:10:00,2018-09-24 21:10:00,0.585893,0.662143
