Sample Size: 490 timeframes
Average MRE RAW: 7,275.0600
Average MRE SMOOTHED: 0.1925

Timeframe	RAW_MRE	SMOOTH_MRE
2018-09-08 09:15:00	7261.8328	0.1858
2018-09-20 00:00:00	7554.2598	0.0759
2018-09-23 06:00:00	7430.0486	0.0529
2018-09-21 23:15:00	7352.8609	0.1066
2018-09-25 02:00:00	7711.6580	0.0449
2018-09-16 00:15:00	7211.8842	0.1247
2018-09-17 23:00:00	7319.0277	0.0917
2018-09-27 03:30:00	7521.3621	0.0596
2018-09-02 14:30:00	7271.4062	0.1364
2018-09-13 06:30:00	7556.5031	0.1048
2018-09-27 10:45:00	6792.5869	0.3811
2018-08-31 23:30:00	7438.8594	0.0976
2018-09-26 15:00:00	6858.6286	0.3693
2018-09-30 15:30:00	7406.7018	0.1679
2018-09-10 13:30:00	6732.1706	0.4473
2018-09-08 07:15:00	7572.6471	0.0804
2018-09-11 06:15:00	7566.2164	0.0981
2018-09-09 04:15:00	7693.9579	0.0432
2018-09-07 12:30:00	6903.1657	0.3914
2018-09-15 12:00:00	7015.5757	0.3204
2018-09-22 10:30:00	7321.3100	0.2576
2018-09-28 17:45:00	7091.5283	0.3551
2018-09-12 16:30:00	6834.3547	0.4508
2018-09-26 00:30:00	7401.3877	0.0658
2018-09-14 08:30:00	7007.9343	0.3819
2018-09-04 22:15:00	7621.4387	0.0926
2018-09-22 04:00:00	7647.3172	0.0429
2018-09-27 02:15:00	7696.8616	0.0491
2018-09-21 00:00:00	7245.8659	0.0736
2018-09-14 16:30:00	6905.2437	0.4298
2018-09-18 19:15:00	6974.6609	0.2701
2018-09-19 16:30:00	6941.5371	0.3853
2018-09-25 08:00:00	7159.4368	0.2696
2018-09-12 03:15:00	7860.1419	0.0416
2018-09-16 08:15:00	7526.5655	0.0598
2018-09-23 13:00:00	7108.7462	0.1745
2018-09-08 10:30:00	7446.6265	0.1981
2018-09-07 00:00:00	7511.6650	0.0903
2018-09-08 12:15:00	6929.0606	0.2535
2018-09-07 21:00:00	7020.7545	0.1780
2018-09-08 00:00:00	7232.6780	0.1036
2018-09-16 01:45:00	7440.2306	0.0826
2018-09-22 05:30:00	7650.1004	0.0471
2018-09-20 22:30:00	7219.5499	0.1387
2018-09-27 09:00:00	6913.5899	0.4001
2018-09-27 01:45:00	7547.1685	0.0601
2018-09-24 04:00:00	7681.9958	0.0524
2018-09-21 11:30:00	6919.7162	0.3449
2018-09-04 21:00:00	7273.6242	0.1527
2018-09-22 03:45:00	7576.7210	0.0505
2018-09-13 23:45:00	7538.7226	0.0722
2018-09-26 13:30:00	6729.2141	0.3967
2018-09-10 20:45:00	7265.9251	0.1687
2018-09-12 07:45:00	7264.1611	0.2460
2018-09-23 04:45:00	7431.7015	0.0477
2018-09-08 16:30:00	7218.0731	0.2270
2018-09-27 11:30:00	6967.5929	0.3793
2018-09-16 21:00:00	7537.7465	0.1075
2018-09-16 22:15:00	7323.6987	0.1176
2018-09-22 12:45:00	7224.8214	0.2360
2018-09-04 13:00:00	6801.7567	0.3952
2018-09-28 15:15:00	6871.8610	0.3907
2018-09-03 14:15:00	7411.2692	0.1656
2018-09-09 10:45:00	7322.0056	0.1541
2018-09-24 04:15:00	7656.0016	0.0557
2018-09-10 17:30:00	7103.7880	0.3800
2018-09-07 03:00:00	7374.0719	0.0516
2018-09-28 01:45:00	7549.5683	0.0508
2018-09-21 19:15:00	7143.2833	0.2577
2018-09-29 06:15:00	7646.5276	0.0613
2018-09-30 00:30:00	7652.0707	0.0638
2018-09-20 20:00:00	7122.8462	0.2402
2018-09-20 05:00:00	7460.1084	0.0602
2018-09-26 20:15:00	7149.0026	0.2229
2018-09-23 21:15:00	7460.4992	0.1227
2018-09-15 15:15:00	7134.4636	0.2690
2018-09-28 08:45:00	6890.5193	0.4116
2018-09-05 19:00:00	7138.1154	0.2815
2018-09-13 02:00:00	7612.7683	0.0471
2018-09-18 10:00:00	6849.2569	0.4074
2018-09-23 11:30:00	7266.9009	0.1473
2018-09-28 00:45:00	7452.4250	0.0638
2018-09-10 18:15:00	6951.8909	0.3596
2018-09-06 11:00:00	6880.4061	0.3775
2018-09-28 12:45:00	6816.3819	0.3861
2018-09-21 10:45:00	6982.3161	0.3479
2018-09-26 20:30:00	7340.7724	0.1889
2018-09-11 09:30:00	6913.8171	0.3873
2018-09-04 15:30:00	6875.4932	0.3781
2018-09-28 11:45:00	6892.6188	0.3886
2018-09-02 05:00:00	7368.0401	0.0409
2018-09-21 04:15:00	7567.9478	0.0579
2018-09-18 12:30:00	6754.4147	0.4051
2018-09-04 04:45:00	7605.2150	0.0511
2018-09-09 16:15:00	7211.9992	0.1816
2018-09-13 00:30:00	7523.0080	0.0610
2018-09-22 01:15:00	7485.1801	0.0688
2018-09-23 23:30:00	7570.2717	0.0673
2018-09-04 12:15:00	6770.5808	0.3968
2018-09-30 09:00:00	7342.1080	0.0907
2018-09-16 07:30:00	7520.8294	0.0649
2018-09-23 19:15:00	7414.9333	0.1658
2018-09-12 17:15:00	7003.2609	0.3962
2018-09-05 22:45:00	7581.7223	0.0837
2018-09-30 08:45:00	7480.9418	0.0703
2018-09-03 20:45:00	7170.9513	0.1605
2018-09-03 08:30:00	7352.4532	0.1055
2018-09-26 10:30:00	6841.3342	0.4095
2018-09-15 13:15:00	7162.2289	0.2341
2018-09-16 18:45:00	7333.3438	0.1576
2018-09-14 00:30:00	7450.3122	0.0743
2018-09-09 12:15:00	7458.6421	0.1389
2018-09-01 03:00:00	7638.1242	0.0440
2018-09-08 18:00:00	7227.4342	0.2551
2018-09-24 21:30:00	7346.5325	0.1208
2018-09-24 11:15:00	6848.2503	0.4169
2018-09-19 14:45:00	6710.8675	0.4029
2018-09-02 03:30:00	7705.4706	0.0406
2018-09-17 06:30:00	7514.5428	0.1078
2018-09-18 22:45:00	7436.6079	0.1058
2018-09-18 02:15:00	7651.5055	0.0621
2018-09-03 18:00:00	7522.2698	0.1533
2018-09-20 13:15:00	6827.4696	0.4270
2018-09-07 11:45:00	6787.4618	0.4216
2018-09-14 21:30:00	7104.6884	0.1556
2018-09-26 03:30:00	7586.1060	0.0471
2018-09-13 19:15:00	7064.9360	0.2828
2018-09-26 01:15:00	7517.7898	0.0736
2018-09-23 06:30:00	7668.4918	0.0475
2018-09-26 17:15:00	6886.0211	0.3728
2018-09-10 21:45:00	7434.9985	0.1213
2018-09-25 22:15:00	7348.0261	0.1221
2018-09-15 01:15:00	7393.7948	0.0592
2018-09-30 17:15:00	7301.4678	0.1859
2018-09-07 05:45:00	7538.5127	0.0973
2018-09-25 12:30:00	6721.7048	0.4872
2018-09-06 01:30:00	7614.0179	0.0515
2018-09-27 15:00:00	6687.0576	0.4153
2018-09-16 04:15:00	7624.7054	0.0396
2018-09-21 20:15:00	7153.2113	0.2259
2018-09-15 16:45:00	7234.0012	0.2203
2018-09-10 17:45:00	6858.0192	0.3708
2018-09-08 09:30:00	7184.3095	0.2409
2018-09-23 03:00:00	7535.2476	0.0375
2018-09-21 21:15:00	7326.3237	0.1748
2018-09-04 08:15:00	7102.7493	0.3232
2018-09-13 20:45:00	7304.8359	0.1994
2018-09-13 00:15:00	7550.6307	0.0684
2018-09-17 19:30:00	7150.1892	0.2898
2018-09-29 01:15:00	7474.1983	0.0627
2018-09-08 14:30:00	7222.1471	0.2378
2018-09-09 16:30:00	7365.0581	0.1758
2018-09-30 02:15:00	7529.1408	0.0684
2018-09-29 11:30:00	7067.1596	0.2930
2018-09-16 00:00:00	7440.7235	0.1044
2018-09-29 22:15:00	7375.6021	0.1157
2018-09-14 20:00:00	7198.5314	0.2336
2018-09-17 03:30:00	7828.3044	0.0406
2018-09-26 08:30:00	6972.8630	0.3703
2018-09-07 12:15:00	6784.8962	0.3698
2018-09-09 15:30:00	7241.4214	0.1695
2018-09-08 12:30:00	7124.6308	0.2480
2018-09-17 14:15:00	6805.1640	0.4002
2018-09-02 00:00:00	7684.1548	0.0695
2018-09-12 18:45:00	7066.5632	0.3284
2018-09-04 23:15:00	7465.4982	0.0847
2018-09-01 04:45:00	7762.6133	0.0454
2018-09-09 02:45:00	7553.6340	0.0432
2018-09-18 04:30:00	7504.7678	0.0576
2018-09-26 22:30:00	7502.3611	0.0997
2018-09-29 06:30:00	7505.1494	0.0802
2018-09-11 13:00:00	6777.7855	0.4261
2018-09-23 07:45:00	7580.8465	0.0524
2018-09-27 01:15:00	7451.7070	0.0871
2018-09-22 21:45:00	7382.9760	0.1325
2018-09-27 19:45:00	7120.7934	0.2593
2018-09-25 20:00:00	7050.8464	0.2600
2018-09-29 15:15:00	7252.1359	0.2524
2018-09-01 23:00:00	7457.5006	0.1096
2018-09-22 01:30:00	7790.1037	0.0500
2018-09-20 17:30:00	6806.6064	0.4342
2018-09-25 01:00:00	7585.2114	0.0615
2018-09-27 21:00:00	7237.3439	0.1795
2018-09-20 07:45:00	7371.9041	0.1254
2018-09-13 00:45:00	7414.0034	0.0652
2018-09-11 09:00:00	7098.8340	0.3630
2018-09-19 05:45:00	7616.6789	0.0673
2018-09-10 23:00:00	7448.9766	0.0978
2018-09-23 00:15:00	7425.1466	0.0926
2018-09-06 07:45:00	7169.3774	0.2637
2018-09-07 22:45:00	7454.3052	0.1267
2018-09-19 02:30:00	7462.8938	0.0554
2018-09-23 16:15:00	7258.6138	0.1547
2018-09-02 11:45:00	7506.5124	0.1259
2018-09-28 21:45:00	7248.6201	0.1736
2018-09-04 02:45:00	7677.5703	0.0451
2018-09-17 02:30:00	7530.7582	0.0602
2018-09-16 19:15:00	7394.3473	0.1260
2018-09-08 07:30:00	7462.9454	0.0900
2018-09-07 11:15:00	6904.2731	0.3794
2018-09-11 08:45:00	6993.0000	0.3915
2018-09-15 05:45:00	7696.9860	0.0484
2018-09-16 01:30:00	7457.7072	0.0811
2018-09-11 07:00:00	7426.2124	0.1450
2018-09-22 14:45:00	7492.8095	0.1090
2018-09-22 14:00:00	7567.3719	0.1087
2018-09-21 18:45:00	7097.3871	0.2923
2018-09-20 20:30:00	7277.7037	0.2161
2018-09-27 17:30:00	6944.1411	0.3506
2018-09-30 13:30:00	7066.4337	0.2121
2018-09-20 15:15:00	6919.0034	0.3756
2018-09-06 22:30:00	7441.1685	0.1662
2018-09-20 19:00:00	6972.0181	0.3457
2018-09-03 03:00:00	7391.3950	0.0458
2018-09-03 07:30:00	7441.0140	0.0716
2018-09-09 06:15:00	7673.8929	0.0409
2018-09-24 16:45:00	7054.0939	0.4069
2018-09-12 14:45:00	6901.1982	0.3557
2018-09-15 00:00:00	7431.7345	0.1218
2018-09-14 19:00:00	7097.8434	0.2952
2018-09-12 09:00:00	6775.8523	0.4007
2018-09-08 18:45:00	7337.4901	0.2061
2018-09-24 02:45:00	7629.0525	0.0464
2018-09-26 07:00:00	7416.1213	0.1435
2018-09-14 15:45:00	7008.2807	0.4065
2018-09-01 18:45:00	7218.8031	0.1953
2018-09-19 15:45:00	6927.9978	0.3938
2018-09-13 19:45:00	7112.9595	0.2924
2018-09-22 00:00:00	7413.2970	0.0870
2018-09-12 21:00:00	7231.9389	0.1931
2018-09-11 00:00:00	7471.6767	0.0782
2018-09-22 08:00:00	7590.4942	0.0608
2018-09-21 20:45:00	7157.5450	0.2041
2018-09-28 17:30:00	7051.5153	0.3447
2018-09-08 00:15:00	7558.4641	0.0908
2018-09-02 17:15:00	7361.1230	0.1564
2018-09-22 20:45:00	7202.1306	0.1735
2018-09-05 08:30:00	6895.6506	0.3178
2018-09-25 18:30:00	6915.0170	0.3781
2018-09-18 15:00:00	6746.5536	0.4419
2018-09-02 15:30:00	7342.7322	0.1843
2018-09-18 22:15:00	7386.1099	0.1325
2018-09-06 11:30:00	6789.7120	0.3865
2018-09-06 03:15:00	7629.0171	0.0464
2018-09-27 06:45:00	7416.6928	0.1407
2018-09-17 20:00:00	7036.9588	0.2197
2018-09-02 20:45:00	7218.4948	0.1300
2018-09-04 16:00:00	6944.7889	0.3844
2018-09-03 07:15:00	7654.7521	0.0610
2018-09-01 14:45:00	7059.0802	0.2876
2018-09-02 09:00:00	7438.4597	0.0979
2018-09-23 20:00:00	7421.5161	0.1427
2018-09-03 14:45:00	7090.2879	0.1697
2018-09-20 16:30:00	6944.3708	0.4310
2018-09-24 19:45:00	7172.1883	0.2914
2018-09-03 16:30:00	7356.5225	0.1916
2018-09-10 17:15:00	7022.4732	0.3468
2018-09-06 22:15:00	7131.0476	0.1761
2018-09-16 12:45:00	7250.8568	0.1587
2018-09-19 11:45:00	6912.0467	0.3710
2018-09-27 23:00:00	7336.7623	0.0984
2018-09-19 02:00:00	7609.2643	0.0502
2018-09-07 11:30:00	6902.4162	0.3768
2018-09-30 01:30:00	7472.6293	0.0634
2018-09-04 21:45:00	7453.5356	0.1405
2018-09-03 01:15:00	7619.1403	0.0517
2018-09-12 04:30:00	7464.6967	0.0585
2018-09-01 01:45:00	7686.0703	0.0543
2018-09-18 03:00:00	7529.3472	0.0655
