TOP 10:
  mu=20, d=0.8, beta=0.9: top100=0.0317, overall=0.0471
  mu=20, d=0.8, beta=0.5: top100=0.0330, overall=0.0491
  mu=20, d=0.8, beta=0.2: top100=0.0353, overall=0.0526
  mu=20, d=0.8, beta=0.0: top100=0.0393, overall=0.0585
  mu=15, d=0.8, beta=0.9: top100=0.0399, overall=0.0582
  mu=15, d=0.8, beta=0.5: top100=0.0416, overall=0.0607
  mu=15, d=0.8, beta=0.2: top100=0.0445, overall=0.0651
  mu=20, d=0.85, beta=0.9: top100=0.0450, overall=0.0660
  mu=20, d=0.85, beta=0.5: top100=0.0461, overall=0.0676
  mu=12, d=0.8, beta=0.9: top100=0.0475, overall=0.0679

ALL:
  mu= 0, d=0.80, beta=0.00: top100=0.6514, overall=0.1705
  mu= 0, d=0.85, beta=0.00: top100=0.7064, overall=0.1883
  mu= 0, d=0.90, beta=0.00: top100=0.7671, overall=0.2095
  mu= 0, d=0.80, beta=0.20: top100=0.6202, overall=0.1613
  mu= 0, d=0.85, beta=0.20: top100=0.6801, overall=0.1802
  mu= 0, d=0.90, beta=0.20: top100=0.7473, overall=0.2030
  mu= 0, d=0.80, beta=0.50: top100=0.5796, overall=0.1506
  mu= 0, d=0.85, beta=0.50: top100=0.6470, overall=0.1713
  mu= 0, d=0.90, beta=0.50: top100=0.7233, overall=0.1965
  mu= 0, d=0.80, beta=0.90: top100=0.5320, overall=0.1390
  mu= 0, d=0.85, beta=0.90: top100=0.6090, overall=0.1620
  mu= 0, d=0.90, beta=0.90: top100=0.6964, overall=0.1899
  mu= 1, d=0.80, beta=0.00: top100=0.2972, overall=0.2571
  mu= 1, d=0.85, beta=0.00: top100=0.3621, overall=0.3024
  mu= 1, d=0.90, beta=0.00: top100=0.4531, overall=0.3619
  mu= 1, d=0.80, beta=0.20: top100=0.2720, overall=0.2377
  mu= 1, d=0.85, beta=0.20: top100=0.3370, overall=0.2838
  mu= 1, d=0.90, beta=0.20: top100=0.4300, overall=0.3456
  mu= 1, d=0.80, beta=0.50: top100=0.2530, overall=0.2210
  mu= 1, d=0.85, beta=0.50: top100=0.3202, overall=0.2693
  mu= 1, d=0.90, beta=0.50: top100=0.4168, overall=0.3344
  mu= 1, d=0.80, beta=0.90: top100=0.2400, overall=0.2081
  mu= 1, d=0.85, beta=0.90: top100=0.3095, overall=0.2588
  mu= 1, d=0.90, beta=0.90: top100=0.4091, overall=0.3270
  mu= 2, d=0.80, beta=0.00: top100=0.2051, overall=0.2142
  mu= 2, d=0.85, beta=0.00: top100=0.2583, overall=0.2590
  mu= 2, d=0.90, beta=0.00: top100=0.3393, overall=0.3219
  mu= 2, d=0.80, beta=0.20: top100=0.1863, overall=0.1966
  mu= 2, d=0.85, beta=0.20: top100=0.2387, overall=0.2414
  mu= 2, d=0.90, beta=0.20: top100=0.3201, overall=0.3058
  mu= 2, d=0.80, beta=0.50: top100=0.1736, overall=0.1828
  mu= 2, d=0.85, beta=0.50: top100=0.2273, overall=0.2294
  mu= 2, d=0.90, beta=0.50: top100=0.3109, overall=0.2963
  mu= 2, d=0.80, beta=0.90: top100=0.1654, overall=0.1731
  mu= 2, d=0.85, beta=0.90: top100=0.2206, overall=0.2215
  mu= 2, d=0.90, beta=0.90: top100=0.3061, overall=0.2907
  mu= 3, d=0.80, beta=0.00: top100=0.1594, overall=0.1831
  mu= 3, d=0.85, beta=0.00: top100=0.2040, overall=0.2250
  mu= 3, d=0.90, beta=0.00: top100=0.2752, overall=0.2864
  mu= 3, d=0.80, beta=0.20: top100=0.1444, overall=0.1673
  mu= 3, d=0.85, beta=0.20: top100=0.1880, overall=0.2091
  mu= 3, d=0.90, beta=0.20: top100=0.2588, overall=0.2712
  mu= 3, d=0.80, beta=0.50: top100=0.1346, overall=0.1557
  mu= 3, d=0.85, beta=0.50: top100=0.1792, overall=0.1988
  mu= 3, d=0.90, beta=0.50: top100=0.2518, overall=0.2631
  mu= 3, d=0.80, beta=0.90: top100=0.1285, overall=0.1478
  mu= 3, d=0.85, beta=0.90: top100=0.1742, overall=0.1923
  mu= 3, d=0.90, beta=0.90: top100=0.2482, overall=0.2585
  mu= 5, d=0.80, beta=0.00: top100=0.1127, overall=0.1433
  mu= 5, d=0.85, beta=0.00: top100=0.1467, overall=0.1797
  mu= 5, d=0.90, beta=0.00: top100=0.2034, overall=0.2356
  mu= 5, d=0.80, beta=0.20: top100=0.1017, overall=0.1303
  mu= 5, d=0.85, beta=0.20: top100=0.1347, overall=0.1663
  mu= 5, d=0.90, beta=0.20: top100=0.1908, overall=0.2223
  mu= 5, d=0.80, beta=0.50: top100=0.0949, overall=0.1214
  mu= 5, d=0.85, beta=0.50: top100=0.1286, overall=0.1583
  mu= 5, d=0.90, beta=0.50: top100=0.1859, overall=0.2160
  mu= 5, d=0.80, beta=0.90: top100=0.0908, overall=0.1156
  mu= 5, d=0.85, beta=0.90: top100=0.1252, overall=0.1535
  mu= 5, d=0.90, beta=0.90: top100=0.1834, overall=0.2125
  mu= 8, d=0.80, beta=0.00: top100=0.0802, overall=0.1096
  mu= 8, d=0.85, beta=0.00: top100=0.1055, overall=0.1400
  mu= 8, d=0.90, beta=0.00: top100=0.1492, overall=0.1884
  mu= 8, d=0.80, beta=0.20: top100=0.0722, overall=0.0992
  mu= 8, d=0.85, beta=0.20: top100=0.0967, overall=0.1290
  mu= 8, d=0.90, beta=0.20: top100=0.1398, overall=0.1773
  mu= 8, d=0.80, beta=0.50: top100=0.0674, overall=0.0925
  mu= 8, d=0.85, beta=0.50: top100=0.0923, overall=0.1230
  mu= 8, d=0.90, beta=0.50: top100=0.1362, overall=0.1724
  mu= 8, d=0.80, beta=0.90: top100=0.0646, overall=0.0883
  mu= 8, d=0.85, beta=0.90: top100=0.0900, overall=0.1195
  mu= 8, d=0.90, beta=0.90: top100=0.1346, overall=0.1699
  mu=10, d=0.80, beta=0.00: top100=0.0678, overall=0.0952
  mu=10, d=0.85, beta=0.00: top100=0.0896, overall=0.1226
  mu=10, d=0.90, beta=0.00: top100=0.1277, overall=0.1671
  mu=10, d=0.80, beta=0.20: top100=0.0610, overall=0.0860
  mu=10, d=0.85, beta=0.20: top100=0.0821, overall=0.1129
  mu=10, d=0.90, beta=0.20: top100=0.1195, overall=0.1571
  mu=10, d=0.80, beta=0.50: top100=0.0570, overall=0.0802
  mu=10, d=0.85, beta=0.50: top100=0.0784, overall=0.1076
  mu=10, d=0.90, beta=0.50: top100=0.1165, overall=0.1529
  mu=10, d=0.80, beta=0.90: top100=0.0546, overall=0.0767
  mu=10, d=0.85, beta=0.90: top100=0.0764, overall=0.1047
  mu=10, d=0.90, beta=0.90: top100=0.1151, overall=0.1507
  mu=12, d=0.80, beta=0.00: top100=0.0590, overall=0.0843
  mu=12, d=0.85, beta=0.00: top100=0.0782, overall=0.1094
  mu=12, d=0.90, beta=0.00: top100=0.1120, overall=0.1506
  mu=12, d=0.80, beta=0.20: top100=0.0530, overall=0.0761
  mu=12, d=0.85, beta=0.20: top100=0.0716, overall=0.1006
  mu=12, d=0.90, beta=0.20: top100=0.1048, overall=0.1414
  mu=12, d=0.80, beta=0.50: top100=0.0495, overall=0.0710
  mu=12, d=0.85, beta=0.50: top100=0.0684, overall=0.0959
  mu=12, d=0.90, beta=0.50: top100=0.1022, overall=0.1377
  mu=12, d=0.80, beta=0.90: top100=0.0475, overall=0.0679
  mu=12, d=0.85, beta=0.90: top100=0.0667, overall=0.0934
  mu=12, d=0.90, beta=0.90: top100=0.1010, overall=0.1358
  mu=15, d=0.80, beta=0.00: top100=0.0495, overall=0.0722
  mu=15, d=0.85, beta=0.00: top100=0.0660, overall=0.0945
  mu=15, d=0.90, beta=0.00: top100=0.0951, overall=0.1316
  mu=15, d=0.80, beta=0.20: top100=0.0445, overall=0.0651
  mu=15, d=0.85, beta=0.20: top100=0.0604, overall=0.0867
  mu=15, d=0.90, beta=0.20: top100=0.0889, overall=0.1235
  mu=15, d=0.80, beta=0.50: top100=0.0416, overall=0.0607
  mu=15, d=0.85, beta=0.50: top100=0.0577, overall=0.0827
  mu=15, d=0.90, beta=0.50: top100=0.0868, overall=0.1202
  mu=15, d=0.80, beta=0.90: top100=0.0399, overall=0.0582
  mu=15, d=0.85, beta=0.90: top100=0.0563, overall=0.0806
  mu=15, d=0.90, beta=0.90: top100=0.0858, overall=0.1187
  mu=20, d=0.80, beta=0.00: top100=0.0393, overall=0.0585
  mu=20, d=0.85, beta=0.00: top100=0.0527, overall=0.0773
  mu=20, d=0.90, beta=0.00: top100=0.0766, overall=0.1094
  mu=20, d=0.80, beta=0.20: top100=0.0353, overall=0.0526
  mu=20, d=0.85, beta=0.20: top100=0.0482, overall=0.0708
  mu=20, d=0.90, beta=0.20: top100=0.0716, overall=0.1024
  mu=20, d=0.80, beta=0.50: top100=0.0330, overall=0.0491
  mu=20, d=0.85, beta=0.50: top100=0.0461, overall=0.0676
  mu=20, d=0.90, beta=0.50: top100=0.0699, overall=0.0998
  mu=20, d=0.80, beta=0.90: top100=0.0317, overall=0.0471
  mu=20, d=0.85, beta=0.90: top100=0.0450, overall=0.0660
  mu=20, d=0.90, beta=0.90: top100=0.0691, overall=0.0986
