Average MRE across 49 random timeframes: 0.215160

Timeframe	MRE
2018-09-03 21:15:00	0.112501
2018-09-16 03:00:00	0.041059
2018-09-20 13:30:00	0.450023
2018-09-02 12:45:00	0.136829
2018-09-04 20:15:00	0.184633
2018-09-08 11:30:00	0.233828
2018-09-29 21:45:00	0.144338
2018-09-04 10:30:00	0.332479
2018-09-28 03:15:00	0.059261
2018-09-04 23:15:00	0.084675
2018-09-12 07:00:00	0.117202
2018-09-08 12:45:00	0.249161
2018-09-25 21:15:00	0.173950
2018-09-23 17:45:00	0.161344
2018-09-15 18:15:00	0.210045
2018-09-24 19:00:00	0.308679
2018-09-19 11:00:00	0.438424
2018-09-13 06:45:00	0.150121
2018-09-03 17:45:00	0.176675
2018-09-01 22:15:00	0.176135
2018-09-18 23:45:00	0.091439
2018-09-09 07:30:00	0.050002
2018-09-05 09:00:00	0.520843
2018-09-19 20:00:00	0.255970
2018-09-12 03:45:00	0.047619
2018-09-12 17:30:00	0.387858
2018-09-25 09:00:00	0.417462
2018-09-29 17:15:00	0.205486
2018-09-16 08:15:00	0.059811
2018-09-04 04:30:00	0.054817
2018-09-10 03:15:00	0.043456
2018-09-13 17:30:00	0.380169
2018-09-15 21:00:00	0.158536
2018-09-21 09:15:00	0.384972
2018-09-26 14:45:00	0.373487
2018-09-28 10:00:00	0.343572
2018-09-15 08:45:00	0.179180
2018-09-10 05:45:00	0.069440
2018-09-13 20:45:00	0.199387
2018-09-13 18:15:00	0.384655
2018-09-19 19:30:00	0.232843
2018-09-10 16:00:00	0.421489
2018-09-28 05:30:00	0.065453
2018-09-08 19:15:00	0.218338
2018-09-15 19:15:00	0.201046
2018-09-05 01:30:00	0.059493
2018-09-08 17:45:00	0.228790
2018-09-01 09:45:00	0.176616
2018-09-26 14:00:00	0.389242
