Best Feasible: tau=1.08, damping=0.75, top100=0.4564, overall=0.1879

   tau |  damping |  Top-100 MRE |  Overall MRE | Feasible
-----------------------------------------------------------------
  1.00 |     0.75 |       0.5650 |       0.1449 |      YES
  1.00 |     0.78 |       0.5976 |       0.1545 |      YES
  1.00 |     0.80 |       0.6202 |       0.1613 |      YES
  1.00 |     0.82 |       0.6435 |       0.1685 |      YES
  1.00 |     0.83 |       0.6554 |       0.1723 |      YES
  1.00 |     0.84 |       0.6676 |       0.1762 |      YES
  1.00 |     0.85 |       0.6801 |       0.1802 |      YES
  1.00 |     0.86 |       0.6929 |       0.1844 |      YES
  1.00 |     0.87 |       0.7060 |       0.1888 |      YES
  1.02 |     0.75 |       0.5394 |       0.1520 |      YES
  1.02 |     0.78 |       0.5741 |       0.1612 |      YES
  1.02 |     0.80 |       0.5981 |       0.1677 |      YES
  1.02 |     0.82 |       0.6230 |       0.1746 |      YES
  1.02 |     0.83 |       0.6357 |       0.1781 |      YES
  1.02 |     0.84 |       0.6487 |       0.1818 |      YES
  1.02 |     0.85 |       0.6620 |       0.1856 |      YES
  1.02 |     0.86 |       0.6755 |       0.1896 |      YES
  1.02 |     0.87 |       0.6894 |       0.1936 |      YES
  1.05 |     0.75 |       0.4989 |       0.1687 |      YES
  1.05 |     0.78 |       0.5368 |       0.1776 |      YES
  1.05 |     0.80 |       0.5631 |       0.1839 |      YES
  1.05 |     0.82 |       0.5903 |       0.1904 |      YES
  1.05 |     0.83 |       0.6043 |       0.1938 |      YES
  1.05 |     0.84 |       0.6186 |       0.1973 |      YES
  1.05 |     0.85 |       0.6331 |       0.2009 |       no
  1.05 |     0.86 |       0.6480 |       0.2046 |       no
  1.05 |     0.87 |       0.6632 |       0.2084 |       no
  1.08 |     0.75 |       0.4564 |       0.1879 |      YES
  1.08 |     0.78 |       0.4974 |       0.1967 |      YES
  1.08 |     0.80 |       0.5259 |       0.2028 |       no
  1.08 |     0.82 |       0.5555 |       0.2092 |       no
  1.08 |     0.83 |       0.5708 |       0.2125 |       no
  1.08 |     0.84 |       0.5863 |       0.2158 |       no
  1.08 |     0.85 |       0.6022 |       0.2193 |       no
  1.08 |     0.86 |       0.6184 |       0.2228 |       no
  1.08 |     0.87 |       0.6351 |       0.2265 |       no
  1.10 |     0.75 |       0.4269 |       0.2018 |       no
  1.10 |     0.78 |       0.4701 |       0.2105 |       no
  1.10 |     0.80 |       0.5001 |       0.2165 |       no
  1.10 |     0.82 |       0.5314 |       0.2228 |       no
  1.10 |     0.83 |       0.5474 |       0.2260 |       no
  1.10 |     0.84 |       0.5638 |       0.2293 |       no
  1.10 |     0.85 |       0.5806 |       0.2327 |       no
  1.10 |     0.86 |       0.5978 |       0.2362 |       no
  1.10 |     0.87 |       0.6154 |       0.2397 |       no
