Best Feasible: tau=1.0, damping=0.85, top100=0.6801, overall=0.1802

   tau |  damping |  Top-100 MRE |  Overall MRE | Feasible
-----------------------------------------------------------------
   1.0 |     0.85 |       0.6801 |       0.1802 |      YES
   1.0 |     0.87 |       0.7060 |       0.1888 |      YES
   1.0 |     0.89 |       0.7331 |       0.1980 |       no
   1.0 |     0.91 |       0.7619 |       0.2083 |       no
   1.2 |     0.85 |       0.4631 |       0.3099 |       no
   1.2 |     0.87 |       0.5071 |       0.3163 |       no
   1.2 |     0.89 |       0.5539 |       0.3228 |       no
   1.2 |     0.91 |       0.6041 |       0.3293 |       no
   1.5 |     0.85 |       0.3748 |       0.5990 |       no
   1.5 |     0.87 |       0.3501 |       0.6053 |       no
   1.5 |     0.89 |       0.3496 |       0.6110 |       no
   1.5 |     0.91 |       0.3743 |       0.6159 |       no
   1.8 |     0.85 |       1.2454 |       0.9036 |       no
   1.8 |     0.87 |       1.0767 |       0.9116 |       no
   1.8 |     0.89 |       0.9159 |       0.9189 |       no
   1.8 |     0.91 |       0.7681 |       0.9246 |       no
   2.0 |     0.85 |       2.0135 |       1.0839 |       no
   2.0 |     0.87 |       1.7738 |       1.0938 |       no
   2.0 |     0.89 |       1.5337 |       1.1030 |       no
   2.0 |     0.91 |       1.2962 |       1.1105 |       no
   2.5 |     0.85 |       3.7118 |       1.3878 |       no
   2.5 |     0.87 |       3.3597 |       1.4029 |       no
   2.5 |     0.89 |       2.9917 |       1.4173 |       no
   2.5 |     0.91 |       2.6067 |       1.4303 |       no
   3.0 |     0.85 |       4.4720 |       1.5110 |       no
   3.0 |     0.87 |       4.1032 |       1.5299 |       no
   3.0 |     0.89 |       3.7105 |       1.5485 |       no
   3.0 |     0.91 |       3.2890 |       1.5661 |       no
   4.0 |     0.85 |       4.9080 |       1.5886 |       no
   4.0 |     0.87 |       4.5647 |       1.6122 |       no
   4.0 |     0.89 |       4.1886 |       1.6361 |       no
   4.0 |     0.91 |       3.7717 |       1.6597 |       no
   5.0 |     0.85 |       5.1295 |       1.6187 |       no
   5.0 |     0.87 |       4.7953 |       1.6449 |       no
   5.0 |     0.89 |       4.4245 |       1.6717 |       no
   5.0 |     0.91 |       4.0089 |       1.6987 |       no
